id,Age,Sex,Ethnicity,Health,Work,Beef,Lamb,Pork,ProcessedRedMeat,Burgers,Sausages,Offal,Poultry,GameBirds,Fish,Alcohol,Fruit,Veg
52,a0_02,F,white,verygood,u16_75pl,5.05,0,0,12.1025,0,5,5.4,5.425,0,0,0,58.129375,63.484545
53,a0_02,F,white,good,u16_75pl,0.141,0,0,14.551,0,0,0,5.9114,0,5.0625,0,60.342,4.73475
54,a0_02,F,white,verygood,u16_75pl,0,0,0,0,0,63.83333333,0,44,0,0,0,23.86666667,104.9098333
55,a0_02,F,black,verygood,u16_75pl,3.6,0,0,0,0,0,13.4,36.7125,0,11.352,0,84.4625,58.626925
56,a0_02,F,white,verygood,u16_75pl,6.9182875,0,0,8.5,0,0,0,18.75,0,22.038925,0,56.05,47.35147
57,a0_02,F,white,verygood,u16_75pl,0,0,0,11,0,0,0,35.875,0,15.56775,0,77.6,133.47789
58,a0_02,F,white,verygood,u16_75pl,7.2,0,0,13.5,0,0,0,7.5375,0,8.652,0,141.417125,52.2455
59,a0_02,F,white,good,u16_75pl,1.6283,0,0,1.4238,0,0,0,18.195,0,7.0824,0,119.5596,27.06420125
60,a0_02,F,white,verygood,u16_75pl,3.18,0,1.8998775,0,0,51.95,0,10.8163,0,0,0,63.013375,117.9652875
61,a0_02,F,white,good,u16_75pl,0,0,0,0,0,0,0,0,0,12.978,0,49.5,73.875
62,a0_02,F,white,verygood,u16_75pl,0,0,0,0,0,0,0,0,0,21.47825,0,182.59375,123.6853175
63,a0_02,F,white,verygood,u16_75pl,5.725,0,0,0,0,0,0,6.74865,0,0,0,80.241975,25.592
64,a0_02,F,white,verygood,u16_75pl,0.1081,0,0,8.0891,0,0,0,32.652,0,0,0,140.3666,54.1298
65,a0_02,F,white,good,u16_75pl,0,0,0,8.25,0,30,0,19.5,0,17.967,0,58.352625,50.34
66,a0_02,F,white,verygood,u16_75pl,3,7.825,0,4.5,0,10.55,0,21.665,0,0,0,75.409375,36.43265
67,a0_02,F,mixed,good,u16_75pl,0,3.8,0,0,0,0,0,7.05,0,7.2,0,188.19,74.06498
68,a0_02,F,white,verygood,u16_75pl,0,0,0,0.55025,0,7.2625,0,14.6265875,0,0,0,29.25,38.7754875
69,a0_02,F,white,fair,u16_75pl,16.275,0,0,0,7.335,22.5,0,0,0,30,0,117.774425,69.670625
70,a0_02,F,white,verygood,u16_75pl,0.45,0,0,6.75,0,14.31875,0,9.1413,0,0,0,68.767,30.281805
71,a0_02,F,white,verygood,u16_75pl,5.45,0,0,0,0,0,0,24.85,0,7.40625,0,79.06,127.628625
72,a0_02,F,white,verygood,u16_75pl,0,23.78025,0,4.5,0,0,0,19.88675,0,11.325,0,134.575,154.2500875
73,a0_02,F,white,good,u16_75pl,0,0,0,10,0,0,0,29.825,0,25,0,81.93875,74.0565
74,a0_02,F,white,verygood,u16_75pl,0,0,0,0,0,28.75,0,5.6025,0,8.652,0,96.975,17.25075
75,a0_02,F,white,verygood,u16_75pl,0.06815,0,0,38.97465,0,45,0,32.5,0,12.978,0,22.9528,3.819725
76,a0_02,F,white,good,u16_75pl,0,0,0,5.5,4.25,28.6606,0,2.41287375,0,0,0,146.7875,57.6025
77,a0_02,F,white,good,u16_75pl,7.925,0,0,0,0,7.23195,0,16.636275,0,15.4625,0,143.125,26
78,a0_02,F,white,verygood,u16_75pl,20,0,0,7.5,0,12.5,0,6.4665,0,8.652,0,120.5857,90.1535
79,a0_02,F,white,verygood,u16_75pl,2.55,0,2.73185,0,0,18.5,0,16.25,0,0,0,215.5,146.08589
80,a0_02,F,white,verygood,u16_75pl,10.525,0,0,2.75,0,8.75,0,0,0,0,0,58.846875,77.59131
81,a0_02,F,white,good,u16_75pl,0,0,3.6525,0,0,15,0,16.4,0,4.5648,0,60,89.872625
82,a0_02,F,white,verygood,u16_75pl,5,0,0,0,0,11.5,0,43.3725,0,25.641,0,128.7425,84.26
83,a0_02,F,white,fair,u16_75pl,3.125,0,0,28.25,0,30,0,6.4665,0,8.652,0,36.5625,6.978
84,a0_02,F,white,verygood,u16_75pl,2.37825,0,0,0,0,15,0,18.175,0,4.326,0,70.577625,44.8379825
85,a0_02,F,white,verygood,u16_75pl,9.352225,0,30,2.211975,0,0,0,0,0,8.652,0,59.6462,41.06754
86,a0_02,F,white,verygood,u16_75pl,0,0,0,11.5,0,15,0,27.56629,0,31.287,0,16.3815,42.06111
87,a0_02,F,white,verygood,u16_75pl,15,0,0,8,0,13.25,0,13.75,0,17.304,0,58.31615,84.7148625
88,a0_02,F,white,verygood,u16_75pl,3.828,0,0,16.2634,8.5,10.55,0,8.125,0,8.4375,0,88,15.0600075
89,a0_02,F,white,verygood,u16_75pl,5.975,0,0,0,0,20,0,0,0,4.326,0,43.75,34.1885
90,a0_02,F,white,verygood,u16_75pl,0,0,0,27.5,0,12.05325,0,26.25,0,13.1625,0,70.125,50.14048
91,a0_02,F,white,verygood,u16_75pl,18.5,0,0,0,0,1.95,0,32.5,0,16.25,0,203.0004,104.636
92,a0_02,F,white,verygood,u16_75pl,7.355,0,0,0,0,12.5,0,5.25825,0,16.5832875,0,62.525,33.122
93,a0_02,F,white,good,u16_75pl,11.45625,0,0,0,0,57.990325,0,4.298125,0,7.29,0,37.5,56.985
94,a0_02,F,white,good,u16_75pl,5.775,0,0,1.375,0,0,0,6.25,0,0,0,3.981125,23.49975
95,a0_02,F,white,verygood,u16_75pl,4.111125,0,6.547,5.75,0,7.1649875,0,0,0,0,0,172.1595938,54.86533
96,a0_02,F,white,good,u16_75pl,0,0,6.16,14.03,0,0,0,0,0,38.7648,0,47.5,9.83185
97,a0_02,F,white,verygood,u16_75pl,16,0,4.5,0,0,15,0,2.1375,0,0,0,135.7,85.55178125
98,a0_02,F,white,good,u16_75pl,0,0,0,11.125,0,19.419125,0,33.719525,0,0,0,26.81875,60.01362625
99,a0_02,F,white,verygood,u16_75pl,0,0,0,0,0,4.01775,0,14.7326,0,0.69375,0,39.4695,33.75
100,a0_02,F,white,verygood,u16_75pl,5.75,4.9288125,0,0,0,0,0,9.2,0,15.95475,0,88.8875,110.8577025
101,a0_02,F,white,good,u16_75pl,10.68032,0,0,11.5,0,15,0,1.38775,0,4.326,0,39.39,27.16199
102,a0_02,F,white,verygood,u16_75pl,20,0,0,11.5,0,73.2855,0,0,0,0,0,25,23.535445
103,a0_02,F,white,verygood,u16_75pl,18.45,0,0,2.375,0,15,0,0,0,0,0,118.2,105.1269
104,a0_02,F,white,verygood,u16_75pl,24.075,0,0,8.8125,0,5.625,0,0,0,17.1,0,124.9625,53.492145
105,a0_02,F,white,verygood,u16_75pl,0,0,52.5,0,0,45,0,21.981,0,0,0,80,119.4475
106,a0_02,F,white,verygood,u16_75pl,0,0,0,0,0,13.26666667,0,13,0,0,0,231.8220833,24.3005
107,a0_02,F,white,verygood,u16_75pl,0,10,0,11,0,15,9,16.25,0,27.153,0,77.5,196.25
108,a0_02,F,white,good,u16_75pl,0,3.9315,0,2.85,0,11.405,0,12.1083,0,0,0,142.95345,69.192
109,a0_02,F,white,good,u16_75pl,1.1658,0,0,0,0,20.81125,0.3642,5.55775,0,0,0,34.75,10.227675
110,a0_02,F,white,verygood,u16_75pl,3.4845,0,0,0,0,60,1.581,0,0,0,0,22.33333333,24.74298667
111,a0_02,F,white,verygood,u16_75pl,19.475,0,0,0,0,0,0,34.0531,0,8.652,0,65.252,79.853105
112,a0_02,F,white,verygood,u16_75pl,0.893333333,0,8.8,0,0,0,0.906666667,29.79333333,0,17.304,0,0,118.2761333
113,a0_02,F,white,verygood,u16_75pl,7.24975,0,0,10.57225,0,0,0,10.2207,0,7.29,0,61.797,47.7754375
114,a0_02,F,white,verygood,u16_75pl,18.18478,0.357,0,8.8125,0,0,0,14.5989,0,2.3601375,0,108.1565,23.462125
115,a0_02,F,white,verygood,u16_75pl,0,0,0,0,0,10,0,10.83333333,0,3.066666667,0,190.7656667,63.439035
116,a0_02,F,white,good,u16_75pl,3.375,0,23.575,0,9.78,23,0,6.935,0,17.5581,0,1.375,124.604
117,a0_02,F,white,good,u16_75pl,0,0,0,0,0,19.5355,0,38.825325,0,6.489,0,165.725,58.379
118,a0_02,F,white,bad,u16_75pl,14.24585,0,2.747525,0,0,0,0,13.5451,0,8.652,0,245.14,55.0302875
119,a0_02,F,white,verygood,u16_75pl,1.7,0,0,11,0,51.33825,0,14.5989,0,0,0,143.29125,123.6384288
120,a0_02,F,white,verygood,u16_75pl,23.466,0,0,4.6186875,9.78,15,2.775,0.9045625,0,0.8533125,0,0,71.2408775
121,a0_02,F,white,good,u16_75pl,0.0534625,0,0,6.6568375,0,0,0,5.75,0,4.41,0,147.93805,56.835825
122,a0_02,F,white,fair,u16_75pl,0.861075,0,0,6.5025,0,3.425,0.880425,4.9338875,0,25.772375,0,144.175,43.0459525
123,a0_02,F,white,verygood,u16_75pl,8.5306375,0,0,11.5,0,23.0355,0,5.8,0,12.978,0,111.89,38.347265
124,a0_02,F,white,verygood,u16_75pl,9.55,0,0,0,0,0,0,0,19.5,18.118,0.39505,147.3125,72.557
125,a0_02,F,white,good,u16_75pl,4.856,0,0,13.08333333,0,5,0,4.98,0,0,0.1,50.78916667,121.938
126,a0_02,F,white,good,u16_75pl,0,0,0,0,0,0,0,0,0,20.7449,0,148.309125,72.05595
127,a0_02,F,white,good,u16_75pl,3.625,0,0,2.875,0,62.5,0,0,0,0,0,52.94375,47.326125
128,a0_02,F,other,verygood,u16_75pl,0.01225,0,0,0,0,0,0.007,6.84875,0,11.6974,0,142.530075,49.5582
129,a0_02,F,white,verygood,u16_75pl,5.4249,0,10,0,0,40.34570625,0,46.25,0,0,0,59,54.5703375
130,a0_02,F,white,good,u16_75pl,7.275,0,0,2.28375,0,0.75,0,10.5495,0,0,0,195.9269686,55.55738948
131,a0_02,F,white,verygood,u16_75pl,9.275,0,0,5.75,0,30,0,19.1406,0,0,0,81.646,22.443175
132,a0_02,F,black,good,u16_75pl,0,8.75,0,0,0,0,0,23,0,8.652,0,100.85,83.69435
133,a0_02,F,white,good,u16_75pl,1.28,0,0,11.5,0,6.2499,0,2.459625,0,2.163,0,126.02873,78.5165
134,a0_02,F,white,verygood,u16_75pl,2.5375,0,0,0,0,30,0,20.2,0,0,0,127.06325,45.3141975
135,a0_02,F,asian,good,u16_75pl,0,0,0,29,25,34.419525,0,27.575,0,0,0,188.275,114.4595575
136,a0_02,F,asian,verygood,u16_75pl,0,4.7178,0,0,0,0,0,15.55,0,4.326,0,152.33125,34.00105
137,a0_02,F,asian,good,u16_75pl,3.6,0,0,0,0,0,0,25.65,0,14.5894,0,125.651,96.661
